===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,SMACWalkForward,len,datetime,AcctValue,len,value,BuySell,len,buy,sell
1,,1,2004-05-31 21:00:00,0.96829,0.96829,0.96829,0.96829,2.0,0.0,SMACWalkForward,1,731732.875,AcctValue,1,200000.0,BuySell,1,,
2,,2,2004-06-01 21:00:00,0.9476,0.9476,0.9476,0.9476,2.0,0.0,SMACWalkForward,2,731733.875,AcctValue,2,200000.0,BuySell,2,,
3,,3,2004-06-02 21:00:00,0.93866,0.93866,0.93866,0.93866,2.0,0.0,SMACWalkForward,3,731734.875,AcctValue,3,200000.0,BuySell,3,,
4,,4,2004-06-03 21:00:00,0.93994,0.93994,0.93994,0.93994,2.0,0.0,SMACWalkForward,4,731735.875,AcctValue,4,200000.0,BuySell,4,,
5,,5,2004-06-05 21:00:00,0.941665,0.94166,0.94166,0.941665,2.0,0.0,SMACWalkForward,5,731737.875,AcctValue,5,200000.0,BuySell,5,,
6,,6,2004-06-06 21:00:00,0.952515,0.95252,0.95252,0.952515,2.0,0.0,SMACWalkForward,6,731738.875,AcctValue,6,200000.0,BuySell,6,,
7,,7,2004-06-07 21:00:00,0.945715,0.94572,0.94572,0.945715,2.0,0.0,SMACWalkForward,7,731739.875,AcctValue,7,200000.0,BuySell,7,,
8,,8,2004-06-08 21:00:00,0.938435,0.93843,0.93843,0.938435,2.0,0.0,SMACWalkForward,8,731740.875,AcctValue,8,200000.0,BuySell,8,,
9,,9,2004-06-09 21:00:00,0.948455,0.94846,0.94846,0.948455,2.0,0.0,SMACWalkForward,9,731741.875,AcctValue,9,200000.0,BuySell,9,,
10,,10,2004-06-10 21:00:00,0.943575,0.94358,0.94358,0.943575,2.0,0.0,SMACWalkForward,10,731742.875,AcctValue,10,200000.0,BuySell,10,,
11,,11,2004-06-12 21:00:00,0.944555,0.94456,0.94456,0.944555,2.0,0.0,SMACWalkForward,11,731744.875,AcctValue,11,200000.0,BuySell,11,,
12,,12,2004-06-13 21:00:00,0.94536,0.94536,0.94536,0.94536,2.0,0.0,SMACWalkForward,12,731745.875,AcctValue,12,200000.0,BuySell,12,,
13,,13,2004-06-14 21:00:00,0.954745,0.95474,0.95474,0.954745,2.0,0.0,SMACWalkForward,13,731746.875,AcctValue,13,200000.0,BuySell,13,,
14,,14,2004-06-15 21:00:00,0.94679,0.94679,0.94679,0.94679,2.0,0.0,SMACWalkForward,14,731747.875,AcctValue,14,200000.0,BuySell,14,,
15,,15,2004-06-16 21:00:00,0.935195,0.93519,0.93519,0.935195,2.0,0.0,SMACWalkForward,15,731748.875,AcctValue,15,200000.0,BuySell,15,,
16,,16,2004-06-17 21:00:00,0.93879,0.93879,0.93879,0.93879,2.0,0.0,SMACWalkForward,16,731749.875,AcctValue,16,200000.0,BuySell,16,,
17,,17,2004-06-19 21:00:00,0.93976,0.93976,0.93976,0.93976,2.0,0.0,SMACWalkForward,17,731751.875,AcctValue,17,200000.0,BuySell,17,,
18,,18,2004-06-20 21:00:00,0.942375,0.94237,0.94237,0.942375,2.0,0.0,SMACWalkForward,18,731752.875,AcctValue,18,200000.0,BuySell,18,,
19,,19,2004-06-21 21:00:00,0.93384,0.93384,0.93384,0.93384,2.0,0.0,SMACWalkForward,19,731753.875,AcctValue,19,200000.0,BuySell,19,,
20,,20,2004-06-22 21:00:00,0.93576,0.93576,0.93576,0.93576,2.0,0.0,SMACWalkForward,20,731754.875,AcctValue,20,200000.0,BuySell,20,,
21,,21,2004-06-23 21:00:00,0.941135,0.94113,0.94113,0.941135,2.0,0.0,SMACWalkForward,21,731755.875,AcctValue,21,200000.0,BuySell,21,,
22,,22,2004-06-24 21:00:00,0.945715,0.94572,0.94572,0.945715,2.0,0.0,SMACWalkForward,22,731756.875,AcctValue,22,200000.0,BuySell,22,,
23,,23,2004-06-26 21:00:00,0.94536,0.94536,0.94536,0.94536,2.0,0.0,SMACWalkForward,23,731758.875,AcctValue,23,200000.0,BuySell,23,,
24,,24,2004-06-27 21:00:00,0.943355,0.94335,0.94335,0.943355,2.0,0.0,SMACWalkForward,24,731759.875,AcctValue,24,200000.0,BuySell,24,,
25,,25,2004-06-28 21:00:00,0.927945,0.92794,0.92794,0.927945,2.0,0.0,SMACWalkForward,25,731760.875,AcctValue,25,200000.0,BuySell,25,,
26,,26,2004-06-29 21:00:00,0.93201,0.93201,0.93201,0.93201,2.0,0.0,SMACWalkForward,26,731761.875,AcctValue,26,200000.0,BuySell,26,,
27,,27,2004-06-30 21:00:00,0.93945,0.93945,0.93945,0.93945,2.0,0.0,SMACWalkForward,27,731762.875,AcctValue,27,200000.0,BuySell,27,,
28,,28,2004-07-01 21:00:00,0.944555,0.94456,0.94456,0.944555,2.0,0.0,SMACWalkForward,28,731763.875,AcctValue,28,200000.0,BuySell,28,,
29,,29,2004-07-03 21:00:00,0.944105,0.9441,0.9441,0.944105,2.0,0.0,SMACWalkForward,29,731765.875,AcctValue,29,200000.0,BuySell,29,,
30,,30,2004-07-04 21:00:00,0.94384,0.94384,0.94384,0.94384,2.0,0.0,SMACWalkForward,30,731766.875,AcctValue,30,200000.0,BuySell,30,,
31,,31,2004-07-05 21:00:00,0.947105,0.9471,0.9471,0.947105,2.0,0.0,SMACWalkForward,31,731767.875,AcctValue,31,200000.0,BuySell,31,,
32,,32,2004-07-06 21:00:00,0.954835,0.95483,0.95483,0.954835,2.0,0.0,SMACWalkForward,32,731768.875,AcctValue,32,200000.0,BuySell,32,,
33,,33,2004-07-07 21:00:00,0.948905,0.9489,0.9489,0.948905,2.0,0.0,SMACWalkForward,33,731769.875,AcctValue,33,200000.0,BuySell,33,,
34,,34,2004-07-08 21:00:00,0.951835,0.95183,0.95183,0.951835,2.0,0.0,SMACWalkForward,34,731770.875,AcctValue,34,200000.0,BuySell,34,,
35,,35,2004-07-10 21:00:00,0.953015,0.95301,0.95301,0.953015,2.0,0.0,SMACWalkForward,35,731772.875,AcctValue,35,200000.0,BuySell,35,,
36,,36,2004-07-11 21:00:00,0.95845,0.95845,0.95845,0.95845,2.0,0.0,SMACWalkForward,36,731773.875,AcctValue,36,200000.0,BuySell,36,,
